City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
Waitati,-45.75,170.57,46.99,67,89,17.0,NZ,2020-10-17 00:18:34,overcast clouds
Faanui,-16.48,-151.75,79.36,78,38,11.39,PF,2020-10-17 00:18:34,light rain
Severnoye,56.35,78.36,44.35,73,84,11.86,RU,2020-10-17 00:18:34,broken clouds
Yining,29.04,114.56,57.72,90,100,2.71,CN,2020-10-17 00:14:12,light rain
Ilulissat,69.22,-51.1,48.2,57,100,14.99,GL,2020-10-17 00:16:05,light rain
Illapel,-31.63,-71.17,59.5,63,0,0.92,CL,2020-10-17 00:18:35,clear sky
Kavaratti,10.57,72.64,81.37,76,27,16.49,IN,2020-10-17 00:18:35,light rain
Dawei,14.08,98.2,75.79,92,100,2.82,MM,2020-10-17 00:18:35,light rain
Aklavik,68.22,-135.01,23.0,49,20,10.29,CA,2020-10-17 00:13:56,few clouds
Provideniya,64.38,-173.3,41.13,80,80,10.96,RU,2020-10-17 00:18:35,broken clouds
Rikitea,-23.12,-134.97,73.87,81,99,19.75,PF,2020-10-17 00:18:35,overcast clouds
Bogovarovo,58.98,47.02,32.9,94,78,6.91,RU,2020-10-17 00:18:35,broken clouds
Hualmay,-11.1,-77.61,63.91,81,28,7.29,PE,2020-10-17 00:18:36,scattered clouds
Jamestown,42.1,-79.24,42.01,59,1,0.51,US,2020-10-17 00:18:36,clear sky
Carnarvon,-24.87,113.63,69.8,88,40,17.22,AU,2020-10-17 00:18:09,scattered clouds
Ribeira Grande,38.52,-28.7,64.27,71,18,9.4,PT,2020-10-17 00:18:36,few clouds
Kruisfontein,-34.0,24.73,59.31,88,11,4.85,ZA,2020-10-17 00:18:36,few clouds
Bredasdorp,-34.53,20.04,53.6,93,53,1.12,ZA,2020-10-17 00:18:36,broken clouds
Caravelas,-17.71,-39.25,74.05,80,100,11.54,BR,2020-10-17 00:18:37,overcast clouds
Thompson,55.74,-97.86,30.2,74,75,10.29,CA,2020-10-17 00:18:37,broken clouds
Gamba,-2.65,10.0,75.61,86,76,6.49,GA,2020-10-17 00:14:06,broken clouds
Lebu,-37.62,-73.65,51.26,95,5,2.57,CL,2020-10-17 00:18:37,clear sky
Bluff,-46.6,168.33,54.0,61,32,5.99,NZ,2020-10-17 00:18:37,scattered clouds
Arraial Do Cabo,-22.97,-42.03,70.12,73,70,9.08,BR,2020-10-17 00:18:37,broken clouds
Nikolskoye,59.7,30.79,39.2,69,90,2.24,RU,2020-10-17 00:18:38,overcast clouds
Kodiak,57.79,-152.41,46.4,65,1,4.7,US,2020-10-17 00:18:38,clear sky
Ushuaia,-54.8,-68.3,44.6,56,40,23.04,AR,2020-10-17 00:16:31,scattered clouds
Yellowknife,62.46,-114.35,26.01,92,90,18.34,CA,2020-10-17 00:18:38,light shower snow
Iqaluit,63.75,-68.51,33.8,100,90,5.82,CA,2020-10-17 00:18:38,light rain
Tezu,27.92,96.17,74.55,57,4,3.11,IN,2020-10-17 00:18:38,clear sky
Thinadhoo,0.53,72.93,82.69,77,61,19.39,MV,2020-10-17 00:18:38,light rain
Alofi,-19.06,-169.92,78.8,83,100,8.05,NU,2020-10-17 00:14:16,light rain
Senj,44.99,14.91,51.8,66,20,8.05,HR,2020-10-17 00:18:39,few clouds
Winona,43.97,-91.77,41.0,48,1,3.36,US,2020-10-17 00:18:13,clear sky
Bethel,41.37,-73.41,48.2,93,90,5.82,US,2020-10-17 00:14:00,overcast clouds
Qaanaaq,77.48,-69.36,30.99,87,100,6.89,GL,2020-10-17 00:18:39,overcast clouds
Vila Franca Do Campo,37.72,-25.43,62.6,93,75,10.29,PT,2020-10-17 00:18:39,broken clouds
Cabedelo,-6.98,-34.83,77.0,88,20,5.82,BR,2020-10-17 00:18:40,few clouds
Narsaq,60.92,-46.05,39.2,80,96,2.24,GL,2020-10-17 00:18:40,overcast clouds
Hobart,-42.88,147.33,50.0,70,75,5.82,AU,2020-10-17 00:14:07,broken clouds
Busselton,-33.65,115.33,57.99,76,0,8.75,AU,2020-10-17 00:18:40,clear sky
Santa Cruz Verapaz,15.37,-90.43,62.85,100,78,2.46,GT,2020-10-17 00:18:40,light rain
Baherden,38.44,57.43,56.39,34,0,4.09,TM,2020-10-17 00:18:40,clear sky
Synevyr,48.49,23.63,36.0,96,50,1.79,UA,2020-10-17 00:18:40,scattered clouds
Buala,-8.14,159.59,84.43,73,27,5.68,SB,2020-10-17 00:18:41,light rain
Garmisch-Partenkirchen,47.49,11.1,44.6,93,75,1.12,DE,2020-10-17 00:18:41,broken clouds
Bikaner,28.02,73.3,77.9,18,2,7.29,IN,2020-10-17 00:18:41,clear sky
Zaysan,47.47,84.87,41.94,57,0,3.2,KZ,2020-10-17 00:18:41,clear sky
