City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Faanui,PF,79.36,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
6,Kavaratti,IN,81.37,light rain,10.57,72.64,Hotels in Lakshadweep Islands
7,Dawei,MM,75.79,light rain,14.08,98.2,Hotel Dawei
31,Alofi,NU,78.8,light rain,-19.06,-169.92,Taloa Heights
37,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
44,Buala,SB,84.43,light rain,-8.14,159.59,Maringe Lagoon Lodge
46,Bikaner,IN,77.9,clear sky,28.02,73.3,The Laxmi Niwas Palace
52,Abu Road,IN,80.31,scattered clouds,24.48,72.78,Private Room In the Heart of the city.
56,Butaritari,KI,81.72,clear sky,3.07,172.79,Isles Sunset Lodge
58,Wajir,KE,78.17,scattered clouds,1.75,40.06,Al- Amin lodge
59,Hithadhoo,MV,83.46,overcast clouds,-0.6,73.08,Scoop Guest House
66,Sulangan,PH,83.37,overcast clouds,11.14,123.72,Maia's Beach Resort
68,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
70,Siavonga,ZM,77.4,clear sky,-16.54,28.71,Lavongora Waterfront Lodge
71,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
74,Moussoro,TD,88.27,clear sky,13.64,16.49,Pharmacie alnadja Moussoro
75,Sao Filipe,CV,80.28,overcast clouds,14.9,-24.5,Tortuga B&B
76,Vanimo,PG,79.34,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
82,Namatanai,PG,85.08,overcast clouds,-3.67,152.43,Namatanai Hotel
85,San Juan,AR,76.21,scattered clouds,-31.54,-68.54,Hotel Provincial
93,Sola,VU,79.36,clear sky,-13.88,167.55,Leumerus Bungalows
95,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
101,Itoman,JP,80.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
102,Kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
114,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
115,Kutum,SD,75.81,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
119,Phangnga,TH,78.8,moderate rain,8.45,98.53,Rattanapong Hotel
122,Alyangula,AU,82.4,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
123,Cessnock,AU,79.0,scattered clouds,-32.83,151.35,The Mighty Hunter Valley (Formerly Potters & Foghorn Brewery)
134,Marawi,PH,81.0,overcast clouds,8.0,124.29,Derogongan Residence
136,Touros,BR,77.0,few clouds,-5.2,-35.46,INN NEW HORIZON
