City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2020-10-13 02:47:31,65.61,-37.64,39.2,93,100,25.28
1,Puerto Ayora,EC,2020-10-13 02:46:38,-0.74,-90.35,70.0,90,37,5.01
2,Galveston,US,2020-10-13 02:46:50,29.37,-94.97,81.0,83,1,8.05
3,Albany,US,2020-10-13 02:44:42,42.6,-73.97,53.01,66,99,7.72
4,Wolfville,CA,2020-10-13 02:45:37,45.08,-64.37,42.01,86,0,4.16
5,Kristiansund,NO,2020-10-13 02:47:32,63.11,7.73,41.0,86,1,5.82
6,Rikitea,PF,2020-10-13 02:47:32,-23.12,-134.97,73.62,75,11,14.56
7,Dubreka,GN,2020-10-13 02:47:32,9.79,-13.52,74.82,91,100,3.85
8,Hermanus,ZA,2020-10-13 02:47:33,-34.42,19.23,60.01,89,90,7.0
9,Ajdabiya,LY,2020-10-13 02:47:33,30.76,20.23,73.9,49,1,6.51
10,Bairiki,KI,2020-10-13 02:47:33,1.33,172.98,87.8,62,20,10.29
11,Kawalu,ID,2020-10-13 02:47:34,-7.38,108.21,78.46,80,97,4.27
12,Punta Arenas,CL,2020-10-13 02:47:15,-53.15,-70.92,44.6,81,75,21.92
13,Acajutla,SV,2020-10-13 02:47:14,13.59,-89.83,80.58,79,99,5.53
14,Bethel,US,2020-10-13 02:47:35,41.37,-73.41,51.01,94,100,4.0
15,Cherskiy,RU,2020-10-13 02:47:36,68.75,161.3,25.36,87,10,8.1
16,Torbay,CA,2020-10-13 02:47:36,47.67,-52.73,42.01,93,20,10.29
17,Chokurdakh,RU,2020-10-13 02:47:36,70.63,147.92,21.49,94,79,7.09
18,Atuona,PF,2020-10-13 02:47:36,-9.8,-139.03,78.64,70,75,13.91
19,Majene,ID,2020-10-13 02:47:37,-3.54,118.97,86.5,60,44,8.28
20,Ribeira Grande,PT,2020-10-13 02:47:37,38.52,-28.7,68.99,72,17,14.7
21,Nikolskoye,RU,2020-10-13 02:47:37,59.7,30.79,48.0,93,100,2.24
22,Butaritari,KI,2020-10-13 02:47:38,3.07,172.79,82.71,72,0,15.82
23,San Francisco,US,2020-10-13 02:42:54,37.77,-122.42,73.4,60,20,14.99
24,Qaanaaq,GL,2020-10-13 02:47:38,77.48,-69.36,24.57,88,65,4.36
25,Bluff,NZ,2020-10-13 02:47:39,-46.6,168.33,57.99,63,63,5.01
26,Sorland,NO,2020-10-13 02:47:39,67.67,12.69,44.98,71,26,19.46
27,Jamestown,US,2020-10-13 02:47:24,42.1,-79.24,55.0,81,75,16.11
28,Airai,TL,2020-10-13 02:47:40,-8.93,125.41,79.14,41,100,5.99
29,Tuktoyaktuk,CA,2020-10-13 02:47:40,69.45,-133.04,23.0,62,90,17.22
30,Mehamn,NO,2020-10-13 02:47:40,71.04,27.85,36.84,82,87,9.55
31,Avarua,CK,2020-10-13 02:47:41,-21.21,-159.78,73.4,83,83,8.05
32,Rio Gallegos,AR,2020-10-13 02:47:41,-51.62,-69.22,53.6,50,100,17.22
33,Chuy,UY,2020-10-13 02:47:42,-33.7,-53.46,50.76,95,4,9.35
34,Yellowknife,CA,2020-10-13 02:47:42,62.46,-114.35,33.01,91,75,26.4
35,Sitka,US,2020-10-13 02:47:42,57.05,-135.33,48.2,76,75,8.05
36,Mastic Beach,US,2020-10-13 02:47:43,40.77,-72.85,55.99,98,100,1.01
37,Camocim,BR,2020-10-13 02:47:43,-2.9,-40.84,73.87,87,0,7.0
38,Honiara,SB,2020-10-13 02:47:44,-9.43,159.95,89.6,62,75,14.99
39,Kaitangata,NZ,2020-10-13 02:47:44,-46.28,169.85,54.0,71,87,7.0
40,Castro,BR,2020-10-13 02:45:06,-24.79,-50.01,60.04,69,0,2.19
41,Arzamas,RU,2020-10-13 02:47:45,55.39,43.84,47.39,94,32,4.85
42,Mar Del Plata,AR,2020-10-13 02:47:45,-38.0,-57.56,48.0,100,2,1.86
43,Mundo Nuevo,MX,2020-10-13 02:45:07,18.7,-95.5,81.14,87,0,9.04
44,Bambous Virieux,MU,2020-10-13 02:47:46,-20.34,57.76,72.0,94,40,4.7
45,East London,ZA,2020-10-13 02:47:46,-33.02,27.91,63.21,37,44,8.28
46,Bredasdorp,ZA,2020-10-13 02:47:46,-34.53,20.04,59.0,77,57,11.41
47,Ushuaia,AR,2020-10-13 02:46:53,-54.8,-68.3,46.4,65,75,6.93
48,Ponta Do Sol,PT,2020-10-13 02:43:28,32.67,-17.1,69.8,77,40,19.46
49,Cape Town,ZA,2020-10-13 02:47:47,-33.93,18.42,59.0,93,75,5.82
50,Hilo,US,2020-10-13 02:43:01,19.73,-155.09,82.4,65,40,9.17
51,Geraldton,AU,2020-10-13 02:46:10,-28.77,114.6,73.4,69,75,11.41
52,Saint-Philippe,RE,2020-10-13 02:47:48,-21.36,55.77,73.4,69,90,4.7
53,Kosh-Agach,RU,2020-10-13 02:47:48,50.0,88.67,28.09,81,80,1.66
54,Vardo,NO,2020-10-13 02:47:49,70.37,31.11,37.4,86,75,13.87
55,Mataura,NZ,2020-10-13 02:47:49,-46.19,168.86,57.99,63,51,5.01
56,Vao,NC,2020-10-13 02:47:50,-22.67,167.48,73.4,87,94,10.74
57,Leopold,AU,2020-10-13 02:47:50,-38.18,144.47,61.0,67,90,13.87
58,Oranjemund,NA,2020-10-13 02:47:50,-28.55,16.43,57.13,84,8,10.63
59,Alta Floresta,BR,2020-10-13 02:47:50,-9.88,-56.09,70.05,91,98,3.42
60,Albanel,CA,2020-10-13 02:45:08,48.88,-72.45,32.0,83,5,2.24
61,Chardara,KZ,2020-10-13 02:47:51,41.25,67.97,51.85,43,0,7.87
62,Victoria,HK,2020-10-13 02:45:45,22.29,114.16,79.0,77,100,5.99
63,Carnarvon,AU,2020-10-13 02:47:52,-24.87,113.63,71.6,78,0,14.99
64,Kattivakkam,IN,2020-10-13 02:47:52,13.22,80.32,82.4,83,40,10.29
65,Avesta,SE,2020-10-13 02:47:52,60.15,16.17,39.99,91,5,4.0
66,Faanui,PF,2020-10-13 02:47:53,-16.48,-151.75,78.73,78,4,10.22
67,Hobart,AU,2020-10-13 02:46:35,-42.88,147.33,61.0,43,20,14.99
68,Port Alfred,ZA,2020-10-13 02:47:53,-33.59,26.89,63.19,43,0,16.22
69,Coahuayana,MX,2020-10-13 02:47:54,18.73,-103.68,77.56,84,99,3.65
70,Kruisfontein,ZA,2020-10-13 02:47:54,-34.0,24.73,56.12,68,0,21.68
71,Busselton,AU,2020-10-13 02:47:54,-33.65,115.33,78.01,42,99,3.11
72,Comodoro Rivadavia,AR,2020-10-13 02:44:48,-45.87,-67.5,64.4,45,84,26.4
73,Yenangyaung,MM,2020-10-13 02:47:55,20.47,94.88,84.7,71,32,2.42
74,Vaini,TO,2020-10-13 02:47:55,-21.2,-175.2,77.0,69,20,13.87
75,Pevek,RU,2020-10-13 02:47:56,69.7,170.31,24.64,92,33,10.71
76,Makakilo City,US,2020-10-13 02:47:56,21.35,-158.09,87.8,48,1,6.93
77,Westerland,DE,2020-10-13 02:47:56,54.91,8.3,50.0,87,100,6.93
78,Longyearbyen,SJ,2020-10-13 02:47:57,78.22,15.64,24.8,73,75,3.09
79,Tual,ID,2020-10-13 02:47:57,-5.67,132.75,81.05,82,65,17.49
80,Lufilufi,WS,2020-10-13 02:47:58,-13.87,-171.6,89.6,62,75,10.29
81,Udachnyy,RU,2020-10-13 02:47:58,66.42,112.4,17.6,85,0,4.47
82,Gemena,CD,2020-10-13 02:47:58,3.25,19.77,69.21,95,100,1.05
83,Bahia Blanca,AR,2020-10-13 02:47:58,-38.72,-62.27,62.02,44,0,11.16
84,Fureidis,IL,2020-10-13 02:47:59,32.6,34.96,69.8,73,40,2.24
85,San Andres,CO,2020-10-13 02:47:59,12.58,-81.7,84.2,79,75,12.75
86,Laguna,US,2020-10-13 02:44:41,38.42,-121.42,75.0,35,1,2.59
87,Severo-Kurilsk,RU,2020-10-13 02:48:00,50.68,156.12,48.61,76,99,20.89
88,Mahebourg,MU,2020-10-13 02:48:00,-20.41,57.7,71.6,94,40,4.7
89,Namatanai,PG,2020-10-13 02:48:00,-3.67,152.43,85.01,70,65,2.21
90,Umm Lajj,SA,2020-10-13 02:48:00,25.02,37.27,84.61,42,0,2.66
91,Talnakh,RU,2020-10-13 02:48:01,69.49,88.4,28.4,100,40,6.71
92,Maningrida,AU,2020-10-13 02:48:01,-12.07,134.27,90.16,47,85,13.09
93,Bathsheba,BB,2020-10-13 02:48:01,13.22,-59.52,82.4,74,20,14.99
94,Margate,GB,2020-10-13 02:48:02,51.38,1.39,50.0,100,100,1.99
95,Madaoua,NE,2020-10-13 02:48:02,14.07,5.96,85.3,29,0,4.03
96,Monchegorsk,RU,2020-10-13 02:48:02,67.94,32.87,39.0,92,100,10.45
97,Kendari,ID,2020-10-13 02:48:02,-3.94,122.5,86.43,63,48,5.1
98,Drayton Valley,CA,2020-10-13 02:48:03,53.22,-114.99,36.34,78,0,8.08
99,Hasaki,JP,2020-10-13 02:48:03,35.73,140.83,77.0,78,75,6.93
100,Broome,US,2020-10-13 02:45:18,42.25,-75.83,52.0,87,90,16.11
101,Bengkulu,ID,2020-10-13 02:48:04,-3.8,102.27,84.38,68,80,3.42
102,San Luis,AR,2020-10-13 02:47:56,-33.3,-66.34,63.68,29,0,6.29
103,Georgetown,MY,2020-10-13 02:45:10,5.41,100.34,82.4,83,40,5.82
